iter	SurvivalAft	SurvivalAft:dist=Normal
0	3.430200458	3.430200458
1	3.365708904	3.365708904
2	3.281267137	3.281267137
3	3.198587046	3.198587046
4	3.117765144	3.117765144
5	3.03748736	3.03748736
6	2.958320358	2.958320358
7	2.874901789	2.874901789
8	2.813651515	2.813651515
9	2.744001444	2.744001444
10	2.65899636	2.65899636
11	2.589375215	2.589375215
12	2.514297463	2.514297463
13	2.448009778	2.448009778
14	2.3767385	2.3767385
15	2.317700992	2.317700992
16	2.251707846	2.251707846
17	2.180863091	2.180863091
18	2.115357868	2.115357868
19	2.039904061	2.039904061
20	1.972571875	1.972571875
21	1.909495616	1.909495616
22	1.848240706	1.848240706
23	1.784317404	1.784317404
24	1.724103443	1.724103443
25	1.673961004	1.673961004
26	1.628177315	1.628177315
27	1.575352662	1.575352662
28	1.523692664	1.523692664
29	1.481881721	1.481881721
30	1.4380738	1.4380738
31	1.396618212	1.396618212
32	1.356771333	1.356771333
33	1.322435981	1.322435981
34	1.289810117	1.289810117
35	1.256266077	1.256266077
36	1.224343381	1.224343381
37	1.195441718	1.195441718
38	1.163632877	1.163632877
39	1.138775214	1.138775214
40	1.113908476	1.113908476
41	1.091367411	1.091367411
42	1.070895418	1.070895418
43	1.051969277	1.051969277
44	1.035462909	1.035462909
45	1.022765172	1.022765172
46	1.01062952	1.01062952
47	0.9990383063	0.9990383063
48	0.9897498196	0.9897498196
49	0.9794770218	0.9794770218
50	0.9722111843	0.9722111843
51	0.9638856474	0.9638856474
52	0.9573900383	0.9573900383
53	0.9475096504	0.9475096504
54	0.9396893952	0.9396893952
55	0.9380847613	0.9380847613
56	0.9323739011	0.9323739011
57	0.9289785227	0.9289785227
58	0.9231702991	0.9231702991
59	0.9193824572	0.9193824572
60	0.9156624901	0.9156624901
61	0.9144037176	0.9144037176
62	0.9131468452	0.9131468452
63	0.9113075567	0.9113075567
64	0.9083994446	0.9083994446
65	0.9034176345	0.9034176345
66	0.8993902295	0.8993902295
67	0.9014028441	0.9014028441
68	0.9035131511	0.9035131511
69	0.9025531685	0.9025531685
70	0.9002034965	0.9002034965
71	0.9009366716	0.9009366716
72	0.8982017961	0.8982017961
73	0.8936294418	0.8936294418
74	0.8941941164	0.8941941164
75	0.8916340558	0.8916340558
76	0.8886660824	0.8886660824
77	0.8847975262	0.8847975262
78	0.8839527356	0.8839527356
79	0.8815301943	0.8815301943
80	0.8803819812	0.8803819812
81	0.8805513583	0.8805513583
82	0.8783011818	0.8783011818
83	0.8795313415	0.8795313415
84	0.8766672813	0.8766672813
85	0.8768556302	0.8768556302
86	0.8746044912	0.8746044912
87	0.8735133759	0.8735133759
88	0.8736803639	0.8736803639
89	0.8759334664	0.8759334664
90	0.8770160282	0.8770160282
91	0.8756626553	0.8756626553
92	0.8750268175	0.8750268175
93	0.8740078155	0.8740078155
94	0.8766380224	0.8766380224
95	0.8759311267	0.8759311267
96	0.8752364609	0.8752364609
97	0.8770404962	0.8770404962
98	0.8786067163	0.8786067163
99	0.8797128936	0.8797128936
100	0.875730225	0.875730225
101	0.8742868171	0.8742868171
102	0.8735445074	0.8735445074
103	0.8692812702	0.8692812702
104	0.8652491552	0.8652491552
105	0.859558966	0.859558966
106	0.8575957376	0.8575957376
107	0.8577424927	0.8577424927
