iter	Passed	Remaining
0	136	136324
1	136	68262
2	137	45546
3	137	34186
4	137	27370
5	137	22823
6	137	19576
7	138	17139
8	138	15254
9	138	13743
10	139	12506
11	139	11472
12	139	10599
13	139	9847
14	140	9195
15	140	8631
16	140	8133
17	140	7689
18	141	7290
19	141	6930
20	141	6604
21	141	6308
22	142	6037
23	142	5789
24	142	5557
25	142	5346
26	142	5152
27	143	4969
28	143	4801
29	143	4645
30	144	4501
31	144	4364
32	144	4231
33	144	4109
34	144	3995
35	145	3887
36	145	3786
37	145	3691
38	146	3600
39	146	3510
40	146	3427
41	146	3348
42	147	3272
43	147	3200
44	147	3130
45	147	3065
46	148	3002
47	148	2942
48	148	2882
49	148	2826
50	148	2770
51	149	2718
52	149	2668
53	149	2620
54	149	2574
55	150	2529
56	150	2487
57	150	2446
58	150	2406
59	151	2366
60	151	2328
61	151	2292
62	151	2256
63	151	2222
64	152	2188
65	152	2156
66	152	2124
67	152	2094
68	153	2064
69	153	2036
70	153	2008
71	153	1980
72	153	1953
73	154	1928
74	154	1903
75	154	1879
76	154	1856
77	155	1833
78	155	1811
79	155	1790
80	156	1770
81	156	1749
82	156	1729
83	156	1709
84	157	1690
85	157	1671
86	157	1652
87	157	1634
88	157	1616
89	158	1599
90	158	1582
91	158	1566
92	158	1550
93	159	1533
94	159	1518
95	159	1503
96	159	1488
97	160	1473
98	160	1458
99	160	1445
100	160	1431
101	161	1418
102	161	1405
103	161	1392
104	161	1379
105	162	1366
106	162	1354
107	162	1342
108	162	1330
109	163	1319
110	163	1308
111	163	1297
112	163	1286
113	164	1275
114	164	1264
115	164	1254
116	164	1243
117	165	1233
118	165	1223
119	165	1213
120	165	1204
121	166	1195
122	166	1185
123	166	1176
124	166	1167
125	167	1158
126	167	1149
127	167	1140
128	167	1132
129	167	1123
130	168	1115
131	168	1107
132	168	1099
133	169	1092
134	169	1084
135	169	1076
136	169	1068
137	169	1061
138	170	1053
139	170	1046
140	170	1038
141	170	1031
142	170	1024
143	171	1017
144	171	1011
145	171	1005
146	172	998
147	172	991
148	172	985
149	172	978
150	172	972
151	173	966
152	173	959
153	173	953
154	173	947
155	174	942
156	174	936
157	174	930
158	174	924
159	175	919
160	175	913
161	175	907
162	175	902
163	175	896
164	176	891
165	176	886
166	176	881
167	176	876
168	177	871
169	177	866
170	177	861
171	177	856
172	178	851
173	178	846
174	178	842
175	178	837
176	179	832
177	179	827
178	179	823
179	179	818
180	180	814
181	180	810
182	180	805
183	180	801
184	180	797
185	181	792
186	181	788
187	181	784
188	181	780
189	182	776
190	182	772
191	182	768
192	182	764
193	183	760
194	183	756
195	183	752
196	183	748
197	183	744
198	184	741
199	184	737
200	184	734
201	184	730
202	185	726
203	185	723
204	185	719
205	185	716
206	186	712
207	186	709
208	186	705
209	186	702
210	186	698
211	187	695
212	187	692
213	187	689
214	187	685
215	188	682
216	188	679
217	188	676
218	188	673
219	188	669
220	189	666
221	189	663
222	189	660
223	189	657
224	190	654
225	190	651
226	190	649
227	190	646
228	191	643
229	191	640
230	191	637
231	191	634
232	191	631
233	192	629
234	192	626
235	192	623
236	193	621
237	193	618
238	193	616
239	193	613
240	193	610
241	194	608
242	194	605
243	194	603
244	194	600
245	195	598
246	195	595
247	195	593
248	195	590
249	196	588
250	196	585
251	196	583
252	196	580
253	197	578
254	197	576
255	197	573
256	197	571
257	198	569
258	198	567
259	198	564
260	198	562
261	198	560
262	199	558
263	199	555
264	199	553
265	199	551
266	200	549
267	200	546
268	200	544
269	200	542
270	201	540
271	201	538
272	201	536
273	201	534
274	201	532
275	202	530
276	202	528
277	202	526
278	202	524
